// General information: 
//  MT Manager version: 2020.3.0 
//  XDA version: 2020.3.0 build 5439 rev 106958 built on 2020-11-10
// Device information: 
//  DeviceId: 00B46A05
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,StatusWord,ClippingFlags,RSSI,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw,Mat[1][1],Mat[2][1],Mat[3][1],Mat[1][2],Mat[2][2],Mat[3][2],Mat[1][3],Mat[2][3],Mat[3][3]
30829,2,0,-66.0000,3.441628,0.446150,9.193143,0.008539,0.031555,0.013638,0.004465,0.011174,0.000609,-0.493028,0.385830,-1.117844,0.034421,0.004460,0.091930,1.000000,0.000022,0.000056,0.000003,0.999998,-0.001233,0.001249,0.000510,-0.141193,0.143140,0.058302,0.999996,0.001018,-0.002498,-0.001024,0.999996,-0.002464,0.002496,0.002467,0.999994
30830,2,0,-66.0000,3.440607,0.446235,9.193521,0.008004,0.031537,0.013638,-0.002312,0.011095,0.000204,-0.496874,0.377979,-1.113162,0.034411,0.004463,0.091933,1.000000,-0.000012,0.000055,0.000001,0.999998,-0.001244,0.001277,0.000499,-0.142479,0.146357,0.056953,0.999996,0.000994,-0.002554,-0.001000,0.999996,-0.002487,0.002552,0.002489,0.999994
30831,2,0,-66.0000,3.451587,0.421265,9.214613,0.011920,0.005653,0.036162,0.001411,0.010008,0.001683,-0.495304,0.390661,-1.122892,0.034520,0.004212,0.092144,1.000000,0.000007,0.000050,0.000008,0.999998,-0.001237,0.001301,0.000480,-0.141652,0.149203,0.054773,0.999996,0.000956,-0.002604,-0.000962,0.999996,-0.002472,0.002602,0.002475,0.999994
30832,2,0,-66.0000,3.407537,0.419781,9.238031,-0.036945,0.003044,0.042635,-0.001343,0.012226,-0.000313,-0.496774,0.392134,-1.107180,0.034081,0.004198,0.092378,1.000000,-0.000007,0.000061,-0.000002,0.999998,-0.001243,0.001335,0.000467,-0.142326,0.153081,0.053370,0.999996,0.000931,-0.002672,-0.000938,0.999996,-0.002484,0.002669,0.002487,0.999993
30833,2,0,-66.0000,3.438364,0.397390,9.193101,0.008646,-0.017206,0.010397,0.001860,0.011162,-0.000901,-0.497442,0.391438,-1.113733,0.034389,0.003973,0.091929,1.000000,0.000009,0.000056,-0.000005,0.999998,-0.001235,0.001365,0.000493,-0.141457,0.156498,0.056318,0.999996,0.000983,-0.002731,-0.000990,0.999996,-0.002469,0.002729,0.002472,0.999993
30834,2,0,-66.0000,3.403932,0.421702,9.184241,-0.020453,0.007276,-0.008892,0.000892,0.010030,-0.000383,-0.502418,0.388791,-1.122005,0.034044,0.004217,0.091841,1.000000,0.000004,0.000050,-0.000002,0.999998,-0.001230,0.001388,0.000484,-0.140896,0.159121,0.055275,0.999996,0.000965,-0.002777,-0.000972,0.999997,-0.002459,0.002775,0.002462,0.999993
30835,2,0,-66.0000,3.435997,0.422190,9.194598,0.006473,0.007121,0.012019,0.003946,0.011195,-0.001454,-0.499285,0.387374,-1.116461,0.034365,0.004220,0.091944,1.000000,0.000020,0.000056,-0.000007,0.999998,-0.001211,0.001416,0.000494,-0.138647,0.162375,0.056426,0.999995,0.000985,-0.002834,-0.000992,0.999997,-0.002420,0.002832,0.002423,0.999993
30836,2,0,-66.0000,3.425418,0.397052,9.227191,-0.013833,-0.019989,0.037774,0.004026,0.010141,-0.005623,-0.498580,0.389452,-1.113479,0.034259,0.003968,0.092270,1.000000,0.000020,0.000051,-0.000028,0.999998,-0.001182,0.001441,0.000466,-0.135358,0.165200,0.053210,0.999995,0.000929,-0.002883,-0.000935,0.999997,-0.002362,0.002881,0.002365,0.999993
30837,2,0,-66.0000,3.431778,0.473449,9.142284,0.020761,0.059993,-0.036258,0.000961,0.008853,0.004271,-0.497530,0.384982,-1.116968,0.034322,0.004735,0.091421,1.000000,0.000005,0.000044,0.000021,0.999998,-0.001186,0.001456,0.000489,-0.135793,0.166934,0.055849,0.999995,0.000975,-0.002914,-0.000982,0.999997,-0.002370,0.002911,0.002373,0.999993
30838,2,0,-66.0000,3.433616,0.398722,9.194817,0.005936,-0.017249,0.010399,0.003428,0.011217,-0.003519,-0.495676,0.392229,-1.119818,0.034341,0.003985,0.091946,1.000000,0.000017,0.000056,-0.000018,0.999998,-0.001164,0.001486,0.000470,-0.133255,0.170320,0.053666,0.999995,0.000937,-0.002973,-0.000944,0.999997,-0.002326,0.002970,0.002329,0.999993
