// General information: 
//  MT Manager version: 2020.3.0 
//  XDA version: 2020.3.0 build 5439 rev 106958 built on 2020-11-10
// Device information: 
//  DeviceId: 00B46A0D
//  ProductCode: MTW2-3A7G6
//  Firmware Version: 4.4.0
//  Hardware Version: 2.0.0
// Device settings: 
//  Filter Profile: human(46.1)
//  Option Flags: Orientation Smoother Disabled, Position/Velocity Smoother Disabled, Continuous Zero Rotation Update Disabled, AHS Disabled, ICC Disabled
// Coordinate system: ENU
PacketCounter,StatusWord,ClippingFlags,RSSI,Acc_X,Acc_Y,Acc_Z,FreeAcc_E,FreeAcc_N,FreeAcc_U,Gyr_X,Gyr_Y,Gyr_Z,Mag_X,Mag_Y,Mag_Z,VelInc_X,VelInc_Y,VelInc_Z,OriInc_q0,OriInc_q1,OriInc_q2,OriInc_q3,Quat_q0,Quat_q1,Quat_q2,Quat_q3,Roll,Pitch,Yaw,Mat[1][1],Mat[2][1],Mat[3][1],Mat[1][2],Mat[2][2],Mat[3][2],Mat[1][3],Mat[2][3],Mat[3][3]
30829,2,0,-60.0000,3.220537,-1.956243,9.108587,-0.006758,0.007963,0.044543,0.035063,0.006426,-0.020512,-0.510054,0.220547,-1.209350,0.032206,-0.019582,0.091081,1.000000,0.000175,0.000032,-0.000103,-0.999999,-0.000037,-0.000937,-0.000650,0.004285,0.107404,0.074513,0.999997,0.001300,-0.001875,-0.001300,0.999999,0.000075,0.001875,-0.000072,0.999998
30830,2,0,-59.0000,3.266315,-1.979540,9.099584,0.038339,-0.020287,0.055845,0.042993,0.008917,-0.016221,-0.506887,0.234276,-1.205827,0.032666,-0.019818,0.090990,1.000000,0.000215,0.000045,-0.000081,-0.999999,-0.000237,-0.000973,-0.000638,0.027206,0.111453,0.073158,0.999997,0.001277,-0.001945,-0.001276,0.999999,0.000475,0.001946,-0.000472,0.999998
30831,2,0,-60.0000,3.249813,-1.918004,9.107990,0.024909,0.037766,0.045987,0.040674,0.007460,-0.021004,-0.506164,0.237009,-1.201967,0.032500,-0.019202,0.091075,1.000000,0.000203,0.000037,-0.000105,-0.999999,-0.000431,-0.001001,-0.000607,0.049403,0.114706,0.069660,0.999997,0.001216,-0.002002,-0.001214,0.999999,0.000862,0.002003,-0.000860,0.999998
30832,2,0,-59.0000,3.260620,-1.927671,9.079465,0.044188,0.018699,0.025093,0.038440,0.008894,-0.020823,-0.500002,0.233640,-1.207778,0.032608,-0.019298,0.090789,1.000000,0.000192,0.000044,-0.000104,-0.999999,-0.000611,-0.001035,-0.000607,0.070035,0.118527,0.069623,0.999997,0.001215,-0.002069,-0.001213,0.999999,0.001222,0.002070,-0.001220,0.999997
30833,2,0,-59.0000,3.257639,-1.902049,9.069357,0.047132,0.038155,0.009713,0.037297,0.009645,-0.016158,-0.504178,0.233176,-1.198020,0.032579,-0.019040,0.090688,1.000000,0.000186,0.000048,-0.000081,-0.999999,-0.000781,-0.001079,-0.000591,0.089601,0.123590,0.067807,0.999997,0.001183,-0.002157,-0.001180,0.999998,0.001564,0.002159,-0.001561,0.999996
30834,2,0,-59.0000,3.224129,-1.881511,9.110398,0.004566,0.063755,0.032634,0.031691,0.008623,-0.015671,-0.502304,0.225100,-1.206366,0.032244,-0.018832,0.091100,1.000000,0.000158,0.000043,-0.000078,-0.999999,-0.000922,-0.001119,-0.000590,0.105731,0.128211,0.067763,0.999997,0.001183,-0.002238,-0.001179,0.999998,0.001845,0.002240,-0.001843,0.999996
30835,2,0,-60.0000,3.237379,-1.913941,9.092810,0.021225,0.025845,0.027123,0.026678,0.006392,-0.012731,-0.514459,0.230565,-1.203387,0.032375,-0.019154,0.090925,1.000000,0.000133,0.000032,-0.000064,-0.999999,-0.001036,-0.001151,-0.000576,0.118791,0.131866,0.066128,0.999997,0.001154,-0.002301,-0.001149,0.999997,0.002073,0.002304,-0.002071,0.999995
30836,2,0,-60.0000,3.245117,-1.878748,9.101320,0.028844,0.060047,0.030588,0.021475,0.007624,-0.010631,-0.500045,0.227884,-1.201719,0.032454,-0.018799,0.091010,1.000000,0.000107,0.000038,-0.000053,-0.999999,-0.001124,-0.001188,-0.000564,0.128827,0.136053,0.064807,0.999997,0.001131,-0.002375,-0.001126,0.999997,0.002248,0.002377,-0.002246,0.999995
30837,2,0,-60.0000,3.256119,-1.890764,9.072262,0.048169,0.040907,0.009697,0.015422,-0.000224,-0.007143,-0.508157,0.224758,-1.208857,0.032560,-0.018916,0.090721,1.000000,0.000077,-0.000001,-0.000036,-0.999998,-0.001173,-0.001193,-0.000564,0.134508,0.136675,0.064754,0.999997,0.001130,-0.002385,-0.001125,0.999997,0.002348,0.002388,-0.002345,0.999994
30838,2,0,-59.0000,3.236905,-1.908093,9.094207,0.021973,0.027828,0.027115,0.008898,0.000589,-0.005758,-0.503979,0.232540,-1.202301,0.032369,-0.019086,0.090941,1.000000,0.000044,0.000003,-0.000029,-0.999998,-0.001192,-0.001204,-0.000548,0.136672,0.137880,0.063012,0.999996,0.001100,-0.002406,-0.001094,0.999997,0.002385,0.002409,-0.002383,0.999994
